,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
5548,United States of America,Jensen Beach,48,Good,1,Good,21,Good,6,Good,48,Good,27.2437,-80.2423
5567,Italy,Ortona,45,Good,1,Good,45,Good,1,Good,34,Good,42.35,14.4
5601,Senegal,Goudomp,123,Unhealthy for Sensitive Groups,1,Good,26,Good,0,Good,123,Unhealthy for Sensitive Groups,12.5778,-15.8722
5659,Papua New Guinea,Daru,26,Good,0,Good,26,Good,0,Good,19,Good,-9.0833,143.2
5777,United Kingdom,Wallasey,43,Good,1,Good,30,Good,4,Good,43,Good,53.4158,-3.0233
5892,Malaysia,Putatan,50,Good,4,Good,32,Good,0,Good,50,Good,14.3984,121.0364
5981,Indonesia,Bontang,23,Good,1,Good,11,Good,0,Good,23,Good,0.1333,117.5
6022,Ghana,Winneba,28,Good,1,Good,23,Good,0,Good,28,Good,5.35,-0.625
6132,Italy,Arenzano,69,Moderate,1,Good,69,Moderate,0,Good,42,Good,44.4042,8.6806
6176,Dominican Republic,Nagua,112,Unhealthy for Sensitive Groups,1,Good,39,Good,0,Good,112,Unhealthy for Sensitive Groups,19.38,-69.85
6210,Italy,Vico Equense,73,Moderate,1,Good,73,Moderate,0,Good,56,Moderate,40.6667,14.4333
6258,Australia,Ilfracombe,41,Good,1,Good,22,Good,2,Good,41,Good,51.208,-4.12
6318,Australia,Bunbury,31,Good,0,Good,31,Good,0,Good,16,Good,-33.3272,115.6369
6339,Republic of Ireland,Wexford,68,Moderate,0,Good,38,Good,0,Good,68,Moderate,52.3342,-6.4575
6502,Brazil,Mangaratiba,84,Moderate,2,Good,24,Good,4,Good,84,Moderate,-22.96,-44.0408
6507,United States of America,Marblehead,59,Moderate,1,Good,44,Good,4,Good,59,Moderate,42.4992,-70.8639
